@relation R_data_frame

@attribute Empty_Lines numeric
@attribute Lines_Of_Comments numeric
@attribute Lines_Of_Program numeric
@attribute Physic_Lines numeric
@attribute n1_Number_Of_Distinct_Operators numeric
@attribute n2_Number_Of_Distinct_Operands numeric
@attribute n_Program_Vocabulary numeric
@attribute N1_Total_Number_Of_Operators numeric
@attribute N2_Total_Number_Of_Operands numeric
@attribute N_Program_Length numeric
@attribute B_Number_of_Delivered_Bugs_1 numeric
@attribute B_Number_of_Delivered_Bugs_2 numeric
@attribute D_Difficulty numeric
@attribute E_Effort numeric
@attribute T_Time_Required_To_Program numeric
@attribute V_Volume numeric
@attribute _N_Calculated_Program_Length numeric
@attribute McCab_Number numeric
@attribute IsVulnerable {no,yes}

@data
0,0,29,29,19,51,70,132,102,234,0.000333,0.478084,18.000000,25816.540067,1434.252226,1434.252226,370.004315,10,no
0,0,26,26,19,47,66,115,88,203,0.000333,0.409004,9.000000,11043.108056,613.506003,1227.012006,341.776299,9,yes
0,0,7,7,7,10,17,17,20,37,0.000333,0.050412,6.000000,907.416751,50.412042,151.236125,52.870765,1,no
0,0,27,27,19,46,65,120,91,211,0.000333,0.423573,9.000000,11436.476477,635.359804,1270.719609,334.794473,10,no
0,0,27,27,20,47,67,118,90,208,0.000333,0.420582,10.000000,12617.465516,700.970306,1261.746552,347.504238,9,yes
0,0,8,8,8,10,18,20,22,42,0.000333,0.058379,8.000000,1401.094800,77.838600,175.136850,57.219281,1,no
0,0,28,28,20,46,66,123,93,216,0.000333,0.435196,20.000000,26111.782596,1450.654589,1305.589130,340.522412,10,no
0,0,8,8,4,11,15,21,39,60,0.000333,0.078138,6.000000,1406.480614,78.137812,234.413436,46.053748,1,yes
0,0,8,8,4,12,16,21,46,67,0.000333,0.089333,6.000000,1608.000000,89.333333,268.000000,51.019550,1,no
0,0,9,9,6,13,19,25,48,73,0.000333,0.103366,9.000000,2790.888376,155.049354,310.098708,63.615491,2,no
0,0,10,10,12,17,29,32,34,66,0.000333,0.106876,12.000000,3847.520948,213.751164,320.626746,112.506418,2,yes
0,0,8,8,8,13,21,19,26,45,0.000333,0.065885,8.000000,1581.234272,87.846348,197.654284,72.105716,1,no
0,0,11,11,13,20,33,37,37,74,0.000333,0.124428,6.000000,2239.710989,124.428388,373.285165,134.544278,3,no
0,0,24,24,20,43,63,131,85,216,0.000333,0.430364,10.000000,12910.924635,717.273591,1291.092463,319.767946,9,no
0,0,23,23,18,50,68,118,85,203,0.000333,0.411918,9.000000,11121.794611,617.877478,1235.754957,357.251460,10,no
0,0,11,11,13,19,32,42,39,81,0.000333,0.135000,12.000000,4860.000000,270.000000,405.000000,128.816339,2,yes
0,0,9,9,9,15,24,29,31,60,0.000333,0.091699,8.000000,2200.782000,122.265667,275.097750,87.132684,1,no
0,0,12,12,14,22,36,47,42,89,0.000333,0.153374,7.000000,3220.863276,178.936849,460.123325,151.410465,3,no
0,0,2,2,4,8,12,6,9,15,0.000333,0.017925,2.000000,107.548875,5.974938,53.774438,32.000000,1,yes
0,0,2,2,4,9,13,6,10,16,0.000333,0.019736,2.000000,118.414071,6.578559,59.207035,36.529325,1,no
0,0,3,3,6,10,16,10,12,22,0.000333,0.029333,3.000000,264.000000,14.666667,88.000000,48.729056,2,no
0,0,9,9,11,17,28,28,28,56,0.000333,0.089737,5.000000,1346.059378,74.781077,269.211876,107.540616,2,yes
0,0,7,7,7,10,17,15,18,33,0.000333,0.044962,3.000000,404.658821,22.481046,134.886274,52.870765,1,no
0,0,10,10,12,17,29,33,29,62,0.000333,0.100398,6.000000,1807.168930,100.398274,301.194822,112.506418,3,no
0,0,12,12,12,20,32,36,45,81,0.000333,0.135000,12.000000,4860.000000,270.000000,405.000000,129.458112,2,yes
0,0,10,10,8,16,24,23,37,60,0.000333,0.091699,8.000000,2200.782000,122.265667,275.097750,88.000000,1,no
0,0,13,13,13,23,36,41,48,89,0.000333,0.153374,12.000000,5521.479902,306.748883,460.123325,152.147641,3,no
0,0,22,22,20,47,67,114,89,203,0.000333,0.410472,10.000000,12314.161057,684.120059,1231.416106,347.504238,7,no
0,0,17,17,17,42,59,100,71,171,0.000333,0.335311,8.000000,8047.455692,447.080872,1005.931961,295.964200,7,no
0,0,24,24,18,49,67,124,89,213,0.000333,0.430692,9.000000,11628.692978,646.038499,1292.076998,350.179432,9,no
0,0,7,7,11,16,27,24,22,46,0.000333,0.072908,5.000000,1093.624125,60.756896,218.724825,102.053748,2,yes
0,0,8,8,12,16,28,29,23,52,0.000333,0.083327,6.000000,1499.894736,83.327485,249.982456,107.019550,3,no
0,0,5,5,7,9,16,11,12,23,0.000333,0.030667,3.000000,276.000000,15.333333,92.000000,48.180809,1,no
0,0,9,9,12,18,30,30,24,54,0.000333,0.088324,6.000000,1589.832553,88.324031,264.972092,118.078200,4,yes
0,0,10,10,13,18,31,35,25,60,0.000333,0.099084,6.000000,1783.510672,99.083926,297.251779,123.164366,5,no
0,0,10,10,13,18,31,35,25,60,0.000333,0.099084,6.000000,1783.510672,99.083926,297.251779,123.164366,5,no
0,0,7,7,8,10,18,17,14,31,0.000333,0.043089,4.000000,517.070700,28.726150,129.267675,57.219281,3,no
0,0,7,7,8,10,18,17,14,31,0.000333,0.043089,4.000000,517.070700,28.726150,129.267675,57.219281,3,no
0,0,9,9,12,16,28,30,24,54,0.000333,0.086532,6.000000,1557.582995,86.532389,259.597166,107.019550,4,yes
0,0,10,10,13,16,29,35,25,60,0.000333,0.097160,6.000000,1748.873158,97.159620,291.478860,112.105716,5,no
0,0,7,7,8,9,17,17,14,31,0.000333,0.042237,4.000000,506.845392,28.158077,126.711348,52.529325,3,no
0,0,9,9,11,18,29,30,26,56,0.000333,0.090682,5.000000,1360.234679,75.568593,272.046936,113.112398,4,yes
0,0,10,10,12,18,30,36,27,63,0.000333,0.103045,6.000000,1854.804645,103.044703,309.134108,118.078200,5,no
0,0,10,10,12,18,30,35,27,62,0.000333,0.101409,6.000000,1825.363302,101.409072,304.227217,118.078200,5,no
0,0,7,7,9,11,20,18,16,34,0.000333,0.048982,4.000000,587.782221,32.654568,146.945555,66.583073,3,no
0,0,7,7,8,11,19,17,16,33,0.000333,0.046727,4.000000,560.726432,31.151468,140.181608,62.053748,3,no
0,0,22,22,18,48,66,115,83,198,0.000333,0.398930,9.000000,10771.110321,598.395018,1196.790036,343.136850,9,no
0,0,22,22,18,48,66,115,83,198,0.000333,0.398930,9.000000,10771.110321,598.395018,1196.790036,343.136850,9,no
0,0,3,3,5,9,14,6,12,18,0.000333,0.022844,2.000000,137.064777,7.614710,68.532389,40.138965,1,yes
0,0,3,3,5,11,16,6,14,20,0.000333,0.026667,2.000000,160.000000,8.888889,80.000000,49.663388,1,no
0,0,4,4,7,12,19,10,16,26,0.000333,0.036815,3.000000,331.338346,18.407686,110.446115,62.671034,2,no
0,0,10,10,13,18,31,34,35,69,0.000333,0.113947,6.000000,2051.037273,113.946515,341.839545,123.164366,2,yes
0,0,8,8,9,14,23,21,27,48,0.000333,0.072377,4.000000,868.523896,48.251328,217.130974,81.832294,1,no
0,0,11,11,14,21,35,39,38,77,0.000333,0.131652,7.000000,2764.683546,153.593530,394.954792,145.541635,3,no
0,0,29,29,18,49,67,127,102,229,0.000333,0.463045,18.000000,25004.419643,1389.134425,1389.134425,350.179432,9,yes
0,0,10,10,9,16,25,29,34,63,0.000333,0.097521,8.000000,2340.503520,130.027973,292.562940,92.529325,1,no
0,0,30,30,19,51,70,132,105,237,0.000333,0.484213,18.000000,26147.521350,1452.640075,1452.640075,370.004315,10,no
0,0,23,23,18,48,66,118,84,202,0.000333,0.406989,9.000000,10988.708509,610.483806,1220.967612,343.136850,10,no
0,0,32,32,21,52,73,158,116,274,0.000333,0.565337,20.000000,33920.238583,1884.457699,1696.011929,388.661531,11,no
0,0,23,23,19,49,68,118,84,202,0.000333,0.409889,9.000000,11067.007445,614.833747,1229.667494,355.831405,10,no
0,0,27,27,20,48,68,144,97,241,0.000333,0.489026,20.000000,29341.570895,1630.087272,1467.078545,354.516762,11,no
0,0,23,23,18,50,68,118,85,203,0.000333,0.411918,9.000000,11121.794611,617.877478,1235.754957,357.251460,10,no
0,0,28,28,18,48,66,119,102,221,0.000333,0.445270,18.000000,24044.599807,1335.811100,1335.811100,343.136850,9,yes
0,0,9,9,7,14,21,21,36,57,0.000333,0.083454,6.000000,1502.172559,83.454031,250.362093,72.954453,1,no
0,0,29,29,19,50,69,124,107,231,0.000333,0.470356,18.000000,25399.244691,1411.069150,1411.069150,362.903432,10,no
0,0,29,29,21,47,68,145,102,247,0.000333,0.501201,20.000000,30072.066436,1670.670358,1503.603322,353.304342,9,no
0,0,30,30,19,48,67,151,97,248,0.000333,0.501463,18.000000,27079.022146,1504.390119,1504.390119,348.788823,11,no
0,0,19,19,18,44,62,102,73,175,0.000333,0.347328,9.000000,9377.859189,520.992177,1041.984354,315.273641,7,no
0,0,25,25,18,50,68,126,97,223,0.000333,0.452501,9.000000,12217.537922,678.752107,1357.504214,357.251460,10,no
0,0,19,19,18,44,62,102,73,175,0.000333,0.347328,9.000000,9377.859189,520.992177,1041.984354,315.273641,7,no
0,0,19,19,18,44,62,102,73,175,0.000333,0.347328,9.000000,9377.859189,520.992177,1041.984354,315.273641,7,no
0,0,25,25,19,50,69,127,91,218,0.000333,0.443886,9.000000,11984.924984,665.829166,1331.658332,362.903432,10,no
0,0,12,12,11,20,31,42,42,84,0.000333,0.138717,10.000000,4161.524901,231.195828,416.152490,124.492310,2,yes
0,0,10,10,9,16,25,29,34,63,0.000333,0.097521,8.000000,2340.503520,130.027973,292.562940,92.529325,1,no
0,0,13,13,12,23,35,47,45,92,0.000333,0.157298,6.000000,2831.364225,157.298013,471.894038,147.061475,3,no
0,0,29,29,18,50,68,121,105,226,0.000333,0.458589,18.000000,24763.798838,1375.766602,1375.766602,357.251460,9,yes
0,0,10,10,8,16,24,23,37,60,0.000333,0.091699,8.000000,2200.782000,122.265667,275.097750,88.000000,1,no
0,0,30,30,19,52,71,126,108,234,0.000333,0.479680,18.000000,25902.734867,1439.040826,1439.040826,377.133488,10,no
0,0,9,9,13,17,30,31,28,59,0.000333,0.096502,6.000000,1737.039271,96.502182,289.506545,117.592585,2,yes
0,0,7,7,9,10,19,18,18,36,0.000333,0.050975,4.000000,611.701562,33.983420,152.925390,61.748606,1,no
0,0,10,10,14,17,31,36,29,65,0.000333,0.107341,7.000000,2254.159321,125.231073,322.022760,122.789837,3,no
0,0,2,2,6,6,12,6,9,15,0.000333,0.017925,3.000000,161.323313,8.962406,53.774438,31.019550,1,yes
0,0,3,3,8,8,16,10,13,23,0.000333,0.030667,4.000000,368.000000,20.444444,92.000000,48.000000,2,no
0,0,2,2,6,7,13,6,11,17,0.000333,0.020969,3.000000,188.722426,10.484579,62.907475,35.161259,1,no
0,0,27,27,18,48,66,119,95,214,0.000333,0.431167,9.000000,11641.503074,646.750171,1293.500342,343.136850,9,yes
0,0,8,8,9,14,23,21,27,48,0.000333,0.072377,4.000000,868.523896,48.251328,217.130974,81.832294,1,no
0,0,28,28,19,50,69,124,98,222,0.000333,0.452031,9.000000,12204.831865,678.046215,1356.092429,362.903432,10,no
0,0,10,10,12,18,30,33,29,62,0.000333,0.101409,6.000000,1825.363302,101.409072,304.227217,118.078200,3,yes
0,0,11,11,12,18,30,38,36,74,0.000333,0.121037,12.000000,4357.318849,242.073269,363.109904,118.078200,4,no
0,0,11,11,12,18,30,38,36,74,0.000333,0.121037,12.000000,4357.318849,242.073269,363.109904,118.078200,4,no
0,0,8,8,8,11,19,20,22,42,0.000333,0.059471,8.000000,1427.303645,79.294647,178.412956,62.053748,2,no
0,0,32,32,21,53,74,158,117,275,0.000333,0.569200,20.000000,34151.993511,1897.332973,1707.599676,395.818450,11,no
0,0,24,24,21,49,70,124,90,214,0.000333,0.437222,10.000000,13116.665656,728.703648,1311.666566,367.359448,10,no
0,0,2,2,4,8,12,6,9,15,0.000333,0.017925,2.000000,107.548875,5.974938,53.774438,32.000000,1,yes
0,0,2,2,4,9,13,6,10,16,0.000333,0.019736,2.000000,118.414071,6.578559,59.207035,36.529325,1,no
0,0,3,3,6,10,16,10,12,22,0.000333,0.029333,3.000000,264.000000,14.666667,88.000000,48.729056,2,no
0,0,27,27,19,47,66,117,94,211,0.000333,0.425122,18.000000,22956.608865,1275.367159,1275.367159,341.776299,9,yes
0,0,8,8,8,13,21,19,26,45,0.000333,0.065885,8.000000,1581.234272,87.846348,197.654284,72.105716,1,no
0,0,28,28,20,49,69,122,97,219,0.000333,0.445922,10.000000,13377.668560,743.203809,1337.766856,361.559344,10,no
0,0,10,10,14,19,33,42,35,77,0.000333,0.129473,7.000000,2718.928430,151.051579,388.418347,134.013592,4,yes
0,0,11,11,15,18,33,47,36,83,0.000333,0.139562,14.000000,5861.585967,325.643665,418.684712,133.662009,5,no
0,0,8,8,11,12,23,29,25,54,0.000333,0.081424,10.000000,2442.723456,135.706859,244.272346,81.073298,3,no
0,0,25,25,20,51,71,126,99,225,0.000333,0.461231,10.000000,13836.931019,768.718390,1383.693102,375.732254,13,no
0,0,20,20,17,46,63,113,81,194,0.000333,0.386531,8.000000,9276.738441,515.374358,1159.592305,323.570718,11,no
0,0,10,10,8,16,24,29,25,54,0.000333,0.082529,4.000000,990.351900,55.019550,247.587975,88.000000,3,yes
0,0,11,11,10,15,25,34,25,59,0.000333,0.091329,5.000000,1369.937576,76.107643,273.987515,91.822640,4,no
0,0,11,11,10,15,25,34,25,59,0.000333,0.091329,5.000000,1369.937576,76.107643,273.987515,91.822640,4,no
0,0,7,7,10,13,23,24,22,46,0.000333,0.069361,5.000000,1040.419250,57.801069,208.083850,81.324997,2,no
0,0,7,7,9,13,22,23,22,45,0.000333,0.066891,4.000000,802.697691,44.594316,200.674423,76.635041,2,no
0,0,7,7,9,12,21,23,21,44,0.000333,0.064421,4.000000,773.047866,42.947104,193.261967,71.548875,2,no
0,0,7,7,9,12,21,23,21,44,0.000333,0.064421,4.000000,773.047866,42.947104,193.261967,71.548875,2,no
0,0,7,7,9,12,21,23,21,44,0.000333,0.064421,4.000000,773.047866,42.947104,193.261967,71.548875,2,no
0,0,7,7,9,12,21,23,21,44,0.000333,0.064421,4.000000,773.047866,42.947104,193.261967,71.548875,2,no
0,0,7,7,10,12,22,24,22,46,0.000333,0.068378,5.000000,1025.669272,56.981626,205.133854,76.238831,2,yes
0,0,7,7,9,12,21,23,22,45,0.000333,0.065885,4.000000,790.617136,43.923174,197.654284,71.548875,2,yes
0,0,7,7,9,11,20,23,21,44,0.000333,0.063388,4.000000,760.659345,42.258852,190.164836,66.583073,2,yes
0,0,7,7,9,11,20,23,21,44,0.000333,0.063388,4.000000,760.659345,42.258852,190.164836,66.583073,2,yes
0,0,6,6,8,11,19,20,20,40,0.000333,0.056639,4.000000,679.668402,37.759356,169.917101,62.053748,1,yes
0,0,5,5,7,10,17,11,12,23,0.000333,0.031337,3.000000,282.034936,15.668608,94.011645,52.870765,2,yes
0,0,6,6,9,10,19,16,13,29,0.000333,0.041063,4.000000,492.759592,27.375533,123.189898,61.748606,3,no
0,0,6,6,9,10,19,16,13,29,0.000333,0.041063,4.000000,492.759592,27.375533,123.189898,61.748606,3,no
0,0,2,2,5,7,12,7,8,15,0.000333,0.017925,2.000000,107.548875,5.974938,53.774438,31.261125,1,no
0,0,3,3,7,8,15,11,10,21,0.000333,0.027348,3.000000,246.134108,13.674117,82.044703,43.651484,2,no
0,0,24,24,18,44,62,104,85,189,0.000333,0.375114,9.000000,10128.087924,562.671551,1125.343103,315.273641,8,yes
0,0,25,25,19,46,65,109,92,201,0.000333,0.403499,18.000000,21788.926748,1210.495930,1210.495930,334.794473,9,no
0,0,25,25,19,46,65,109,92,201,0.000333,0.403499,18.000000,21788.926748,1210.495930,1210.495930,334.794473,9,no
0,0,8,8,8,14,22,19,28,47,0.000333,0.069864,8.000000,1676.746289,93.152572,209.593286,77.302969,2,no
0,0,24,24,19,44,63,105,79,184,0.000333,0.366607,9.000000,9898.375553,549.909753,1099.819506,320.925614,8,yes
0,0,25,25,19,43,62,110,86,196,0.000333,0.389007,18.000000,21006.404583,1167.022477,1167.022477,314.040007,9,no
0,0,25,25,19,43,62,110,86,196,0.000333,0.389007,18.000000,21006.404583,1167.022477,1167.022477,314.040007,9,no
0,0,8,8,8,11,19,20,22,42,0.000333,0.059471,8.000000,1427.303645,79.294647,178.412956,62.053748,2,no
0,0,23,23,18,43,61,103,78,181,0.000333,0.357821,9.000000,9661.171123,536.731729,1073.463458,308.388034,7,yes
0,0,7,7,9,10,19,18,18,36,0.000333,0.050975,4.000000,611.701562,33.983420,152.925390,61.748606,1,no
0,0,24,24,19,42,61,108,79,187,0.000333,0.369683,9.000000,9981.430939,554.523941,1109.047882,307.187955,8,no
0,0,23,23,18,43,61,100,78,178,0.000333,0.351890,9.000000,9501.041215,527.835623,1055.671246,308.388034,7,yes
0,0,7,7,7,10,17,15,18,33,0.000333,0.044962,3.000000,404.658821,22.481046,134.886274,52.870765,1,no
0,0,24,24,19,42,61,105,79,184,0.000333,0.363752,9.000000,9821.301031,545.627835,1091.255670,307.187955,8,no
0,0,24,24,18,46,64,103,83,186,0.000333,0.372000,9.000000,10044.000000,558.000000,1116.000000,329.142500,7,yes
0,0,8,8,8,15,23,18,23,41,0.000333,0.061822,4.000000,741.864161,41.214676,185.466040,82.603359,1,no
0,0,25,25,19,47,66,108,84,192,0.000333,0.386841,9.000000,10444.713038,580.261835,1160.523671,341.776299,8,no
0,0,24,24,20,43,63,105,80,185,0.000333,0.368599,10.000000,11057.967858,614.331548,1105.796786,319.767946,7,yes
0,0,8,8,8,10,18,20,22,42,0.000333,0.058379,8.000000,1401.094800,77.838600,175.136850,57.219281,1,no
0,0,25,25,20,42,62,110,83,193,0.000333,0.383053,10.000000,11491.598879,638.422160,1149.159888,312.915894,8,no
0,0,23,23,19,43,62,102,78,180,0.000333,0.357252,9.000000,9645.798023,535.877668,1071.755336,314.040007,7,yes
0,0,7,7,7,10,17,17,20,37,0.000333,0.050412,6.000000,907.416751,50.412042,151.236125,52.870765,1,no
0,0,24,24,19,42,61,107,81,188,0.000333,0.371660,9.000000,10034.807575,557.489310,1114.978619,307.187955,8,no
0,0,7,7,11,16,27,24,22,46,0.000333,0.072908,5.000000,1093.624125,60.756896,218.724825,102.053748,2,yes
0,0,5,5,7,9,16,11,12,23,0.000333,0.030667,3.000000,276.000000,15.333333,92.000000,48.180809,1,no
0,0,8,8,12,16,28,29,23,52,0.000333,0.083327,6.000000,1499.894736,83.327485,249.982456,107.019550,3,no
0,0,9,9,11,16,27,30,24,54,0.000333,0.085588,5.000000,1283.819626,71.323313,256.763925,102.053748,4,yes
0,0,10,10,12,16,28,35,25,60,0.000333,0.096147,6.000000,1730.647772,96.147098,288.441295,107.019550,5,no
0,0,10,10,12,16,28,35,25,60,0.000333,0.096147,6.000000,1730.647772,96.147098,288.441295,107.019550,5,no
0,0,7,7,8,10,18,17,14,31,0.000333,0.043089,4.000000,517.070700,28.726150,129.267675,57.219281,3,no
0,0,7,7,8,9,17,17,14,31,0.000333,0.042237,4.000000,506.845392,28.158077,126.711348,52.529325,3,no
0,0,3,3,5,9,14,6,12,18,0.000333,0.022844,2.000000,137.064777,7.614710,68.532389,40.138965,1,yes
0,0,3,3,5,11,16,6,14,20,0.000333,0.026667,2.000000,160.000000,8.888889,80.000000,49.663388,1,no
0,0,4,4,7,12,19,10,16,26,0.000333,0.036815,3.000000,331.338346,18.407686,110.446115,62.671034,2,no
0,0,10,10,7,14,21,22,36,58,0.000333,0.084918,6.000000,1528.526463,84.918137,254.754411,72.954453,1,yes
0,0,10,10,8,16,24,23,37,60,0.000333,0.091699,8.000000,2200.782000,122.265667,275.097750,88.000000,1,no
0,0,11,11,10,16,26,27,39,66,0.000333,0.103410,10.000000,3102.290214,172.349456,310.229021,97.219281,2,no
0,0,8,8,10,14,24,20,28,48,0.000333,0.073359,10.000000,2200.782000,122.265667,220.078200,86.522250,1,yes
0,0,9,9,13,15,28,25,33,58,0.000333,0.092942,12.000000,3345.919026,185.884390,278.826585,106.709075,2,no
0,0,8,8,11,15,26,21,31,52,0.000333,0.081474,10.000000,2444.228653,135.790481,244.422865,96.657107,1,no
0,0,23,23,18,43,61,102,74,176,0.000333,0.347937,9.000000,9394.287943,521.904886,1043.809771,308.388034,9,yes
0,0,24,24,19,43,62,107,75,182,0.000333,0.361221,9.000000,9752.973556,541.831864,1083.663728,314.040007,10,no
0,0,24,24,19,42,61,107,75,182,0.000333,0.359798,9.000000,9714.547759,539.697098,1079.394195,307.187955,10,no
0,0,7,7,8,11,19,17,14,31,0.000333,0.043895,4.000000,526.743012,29.263501,131.685753,62.053748,3,no
0,0,7,7,8,10,18,17,14,31,0.000333,0.043089,4.000000,517.070700,28.726150,129.267675,57.219281,3,no
0,0,17,17,17,42,59,100,71,171,0.000333,0.335311,8.000000,8047.455692,447.080872,1005.931961,295.964200,7,no
0,0,22,22,20,47,67,114,89,203,0.000333,0.410472,10.000000,12314.161057,684.120059,1231.416106,347.504238,7,no
0,0,10,10,11,13,24,24,36,60,0.000333,0.091699,10.000000,2750.977500,152.832083,275.097750,86.159464,1,yes
0,0,11,11,14,14,28,29,47,76,0.000333,0.121786,21.000000,7672.538456,426.252136,365.358974,106.605938,2,no
0,0,10,10,12,14,26,25,45,70,0.000333,0.109677,18.000000,5922.554045,329.030780,329.030780,96.322519,1,no
0,0,2,2,6,6,12,6,9,15,0.000333,0.017925,3.000000,161.323313,8.962406,53.774438,31.019550,1,yes
0,0,3,3,8,8,16,10,13,23,0.000333,0.030667,4.000000,368.000000,20.444444,92.000000,48.000000,2,no
0,0,2,2,6,7,13,6,11,17,0.000333,0.020969,3.000000,188.722426,10.484579,62.907475,35.161259,1,no
0,0,5,5,7,11,18,11,13,24,0.000333,0.033359,3.000000,300.234600,16.679700,100.078200,57.705232,2,yes
0,0,6,6,9,11,20,17,14,31,0.000333,0.044660,4.000000,535.919084,29.773282,133.979771,66.583073,3,no
0,0,6,6,9,11,20,16,14,30,0.000333,0.043219,4.000000,518.631371,28.812854,129.657843,66.583073,3,no
0,0,24,24,20,44,64,131,87,218,0.000333,0.436000,10.000000,13080.000000,726.666667,1308.000000,326.653553,9,yes
0,0,24,24,20,45,65,131,89,220,0.000333,0.441640,10.000000,13249.209189,736.067177,1324.920919,333.571951,9,no
0,0,31,31,19,56,75,161,108,269,0.000333,0.558517,9.000000,15079.970050,837.776114,1675.552228,405.922498,14,yes
0,0,40,40,25,68,93,235,154,389,0.000333,0.847911,24.000000,61049.586661,3391.643703,2543.732778,530.043878,17,no
0,0,40,40,25,68,93,235,154,389,0.000333,0.847911,24.000000,61049.586661,3391.643703,2543.732778,530.043878,17,no
0,0,30,30,19,56,75,158,107,265,0.000333,0.550212,9.000000,14855.732577,825.318476,1650.636953,405.922498,13,yes
0,0,40,40,26,70,96,244,160,404,0.000333,0.886775,26.000000,69168.446108,3842.691450,2660.324850,551.261244,17,no
0,0,27,27,20,44,64,137,87,224,0.000333,0.448000,10.000000,13440.000000,746.666667,1344.000000,326.653553,9,yes
0,0,27,27,21,45,66,138,88,226,0.000333,0.455344,10.000000,13660.330710,758.907262,1366.033071,339.372055,9,no
0,0,27,27,19,44,63,137,87,224,0.000333,0.446304,9.000000,12050.196326,669.455351,1338.910703,320.925614,9,yes
0,0,27,27,20,45,65,138,88,226,0.000333,0.453685,10.000000,13610.551257,756.141737,1361.055126,333.571951,9,no
0,0,5,5,7,9,16,11,12,23,0.000333,0.030667,3.000000,276.000000,15.333333,92.000000,48.180809,2,yes
0,0,6,6,9,9,18,16,13,29,0.000333,0.040309,4.000000,483.711300,26.872850,120.927825,57.058650,3,no
0,0,6,6,9,9,18,16,13,29,0.000333,0.040309,4.000000,483.711300,26.872850,120.927825,57.058650,3,no
0,0,4,4,6,9,15,8,11,19,0.000333,0.024744,3.000000,222.692764,12.371820,74.230921,44.039100,1,yes
0,0,5,5,9,9,18,13,12,25,0.000333,0.034749,4.000000,416.992500,23.166250,104.248125,57.058650,2,no
0,0,5,5,7,10,17,11,12,23,0.000333,0.031337,3.000000,282.034936,15.668608,94.011645,52.870765,2,yes
0,0,6,6,9,10,19,16,13,29,0.000333,0.041063,4.000000,492.759592,27.375533,123.189898,61.748606,3,no
0,0,6,6,9,10,19,16,13,29,0.000333,0.041063,4.000000,492.759592,27.375533,123.189898,61.748606,3,no
0,0,5,5,7,10,17,11,13,24,0.000333,0.032700,3.000000,294.297325,16.349851,98.099108,52.870765,2,yes
0,0,6,6,9,10,19,17,14,31,0.000333,0.043895,4.000000,526.743012,29.263501,131.685753,61.748606,3,no
0,0,6,6,9,10,19,16,14,30,0.000333,0.042479,4.000000,509.751302,28.319517,127.437825,61.748606,3,no
0,0,25,25,20,51,71,126,99,225,0.000333,0.461231,10.000000,13836.931019,768.718390,1383.693102,375.732254,9,no
0,0,20,20,17,46,63,113,81,194,0.000333,0.386531,8.000000,9276.738441,515.374358,1159.592305,323.570718,9,no
