@relation R_data_frame

@attribute Lines_Of_Program numeric
@attribute Physic_Lines numeric
@attribute n1_Number_Of_Distinct_Operators numeric
@attribute n2_Number_Of_Distinct_Operands numeric
@attribute n_Program_Vocabulary numeric
@attribute N1_Total_Number_Of_Operators numeric
@attribute N2_Total_Number_Of_Operands numeric
@attribute N_Program_Length numeric
@attribute B_Number_of_Delivered_Bugs_1 numeric
@attribute B_Number_of_Delivered_Bugs_2 numeric
@attribute D_Difficulty numeric
@attribute E_Effort numeric
@attribute T_Time_Required_To_Program numeric
@attribute V_Volume numeric
@attribute _N_Calculated_Program_Length numeric
@attribute McCab_Number numeric
@attribute IsVulnerable {no,yes}

@data
6,6,7,9,16,23,16,39,0.000333,0.052000,3.000000,468.000000,26.000000,156.000000,48.180809,1,no
11,11,11,15,26,40,29,69,0.000333,0.108110,5.000000,1621.651703,90.091761,324.330341,96.657107,2,no
8,8,10,19,29,38,33,71,0.000333,0.114972,5.000000,1724.583253,95.810181,344.916651,113.929904,3,no
20,20,16,21,37,98,65,163,0.000333,0.283047,24.000000,20379.381566,1132.187865,849.140899,156.238666,5,no
13,13,13,22,35,68,45,113,0.000333,0.193203,12.000000,6955.307771,386.405987,579.608981,146.213212,2,no
15,15,13,22,35,74,47,121,0.000333,0.206881,12.000000,7447.718941,413.762163,620.643245,146.213212,3,no
26,26,19,32,51,139,86,225,0.000333,0.425432,18.000000,22973.322635,1276.295702,1276.295702,240.710623,11,no
23,23,16,28,44,111,77,188,0.000333,0.342124,16.000000,16421.970309,912.331684,1026.373144,198.605938,5,no
8,8,11,14,25,47,37,84,0.000333,0.130028,10.000000,3900.839199,216.713289,390.083920,91.356717,1,no
9,9,11,16,27,52,41,93,0.000333,0.147402,10.000000,4422.045377,245.669188,442.204538,102.053748,1,no
16,16,17,27,44,98,61,159,0.000333,0.289350,16.000000,13888.794038,771.599669,868.049627,197.868831,6,no
15,15,16,32,48,95,68,163,0.000333,0.303450,16.000000,14565.582202,809.199011,910.348888,224.000000,2,no
22,22,18,37,55,139,82,221,0.000333,0.425893,18.000000,22998.248940,1277.680497,1277.680497,267.808425,12,no
19,19,17,34,51,111,73,184,0.000333,0.347909,16.000000,16699.620207,927.756678,1043.726263,242.460605,6,no
13,13,14,17,31,64,43,107,0.000333,0.176700,14.000000,7421.386073,412.299226,530.099005,122.789837,6,no
7,7,11,10,21,27,17,44,0.000333,0.064421,5.000000,966.309833,53.683880,193.261967,71.273029,2,no
7,7,9,10,19,42,28,70,0.000333,0.099118,8.000000,2378.839408,132.157745,297.354926,61.748606,1,no
14,14,15,24,39,75,50,125,0.000333,0.220225,14.000000,9249.453883,513.858549,660.675277,168.642459,9,yes
11,11,14,12,26,35,25,60,0.000333,0.094009,14.000000,3948.369363,219.353854,282.026383,96.322519,2,no
2,2,4,4,8,6,5,11,0.000333,0.011000,2.000000,66.000000,3.666667,33.000000,16.000000,2,no
2,2,6,5,11,8,7,15,0.000333,0.017297,3.000000,155.674423,8.648579,51.891474,27.119415,3,no
29,29,20,36,56,121,88,209,0.000333,0.404579,20.000000,24274.743574,1348.596865,1213.737179,272.555862,11,no
29,29,22,38,60,123,94,217,0.000333,0.427265,22.000000,28199.495703,1566.638650,1281.795259,297.528741,12,no
10,10,14,11,25,32,23,55,0.000333,0.085137,14.000000,3575.769266,198.653848,255.412090,91.356717,2,no
23,23,17,30,47,84,71,155,0.000333,0.286987,16.000000,13775.380352,765.298908,860.961272,216.693586,5,no
23,23,19,32,51,86,77,163,0.000333,0.308202,18.000000,16642.895953,924.605331,924.605331,240.710623,6,no
10,10,14,12,26,31,24,55,0.000333,0.086175,14.000000,3619.338583,201.074366,258.524184,96.322519,2,no
24,24,20,33,53,98,74,172,0.000333,0.328401,20.000000,19704.046364,1094.669242,985.202318,252.903568,8,no
24,24,22,35,57,100,80,180,0.000333,0.349973,22.000000,23098.244456,1283.235803,1049.920203,277.632401,9,no
22,22,17,30,47,77,67,144,0.000333,0.266620,16.000000,12797.772714,710.987373,799.860795,216.693586,5,no
22,22,19,32,51,79,73,152,0.000333,0.287403,18.000000,15519.755736,862.208652,862.208652,240.710623,6,no
21,21,20,32,52,93,66,159,0.000333,0.302123,20.000000,18127.398304,1007.077684,906.369915,246.438562,8,no
21,21,22,34,56,95,70,165,0.000333,0.319405,22.000000,21080.698367,1171.149909,958.213562,271.081232,9,no
19,19,17,29,46,72,59,131,0.000333,0.241196,16.000000,11577.385860,643.188103,723.586616,210.368317,5,yes
19,19,19,31,50,74,63,137,0.000333,0.257736,18.000000,13917.749364,773.208298,773.208298,234.290708,6,no
32,32,20,37,57,126,96,222,0.000333,0.431634,20.000000,25898.031663,1438.779537,1294.901583,279.188336,11,no
32,32,22,39,61,128,104,232,0.000333,0.458644,22.000000,30270.483371,1681.693521,1375.931062,304.238182,12,yes
26,26,17,31,48,89,79,168,0.000333,0.312758,16.000000,15012.379202,834.021067,938.273700,223.066954,5,no
26,26,19,33,52,91,87,178,0.000333,0.338226,18.000000,18264.208857,1014.678270,1014.678270,247.175629,6,yes
35,35,20,38,58,131,104,235,0.000333,0.458875,20.000000,27532.510677,1529.583927,1376.625534,285.859807,11,no
35,35,22,40,62,133,114,247,0.000333,0.490229,22.000000,32355.102751,1797.505708,1470.686489,310.984619,12,no
29,29,17,32,49,94,87,181,0.000333,0.338754,16.000000,16260.199709,903.344428,1016.262482,229.486868,5,no
29,29,19,34,53,96,97,193,0.000333,0.368496,18.000000,19898.795659,1105.488648,1105.488648,253.684359,6,no
20,20,16,27,43,68,56,124,0.000333,0.224286,16.000000,10765.709273,598.094960,672.856830,192.381963,2,no
15,15,15,16,31,42,35,77,0.000333,0.127158,14.000000,5340.623623,296.701312,381.473116,122.603359,2,no
20,20,16,28,44,68,57,125,0.000333,0.227476,16.000000,10918.863237,606.603513,682.428952,198.605938,2,no
10,10,16,20,36,55,36,91,0.000333,0.156821,8.000000,3763.705401,209.094745,470.463175,150.438562,6,no
12,12,11,20,31,43,37,80,0.000333,0.132112,5.000000,1981.678524,110.093251,396.335705,124.492310,2,no
7,7,7,8,15,17,16,33,0.000333,0.042976,6.000000,773.564338,42.975797,128.927390,43.651484,2,no
12,12,13,22,35,45,40,85,0.000333,0.145330,6.000000,2615.934339,145.329685,435.989056,146.213212,3,no
8,8,11,17,28,34,29,63,0.000333,0.100954,5.000000,1514.316800,84.128711,302.863360,107.540616,3,no
5,5,10,10,20,20,18,38,0.000333,0.054744,5.000000,821.166338,45.620352,164.233268,66.438562,1,no
6,6,10,12,22,25,22,47,0.000333,0.069864,5.000000,1047.966430,58.220357,209.593286,76.238831,1,yes
4,4,9,5,14,15,9,24,0.000333,0.030459,4.000000,365.506073,20.305893,91.376518,40.138965,1,no
5,5,5,5,10,17,13,30,0.000333,0.033219,4.000000,398.631371,22.146187,99.657843,23.219281,1,no
11,11,17,15,32,38,29,67,0.000333,0.111667,8.000000,2680.000000,148.888889,335.000000,128.090227,2,no
3,3,8,7,15,13,10,23,0.000333,0.029953,4.000000,359.433935,19.968552,89.858484,43.651484,2,no
3,3,9,8,17,15,12,27,0.000333,0.036787,4.000000,441.445987,24.524777,110.361497,52.529325,3,no
6,6,12,18,30,38,28,66,0.000333,0.107952,6.000000,1943.128676,107.951593,323.854779,118.078200,3,no
5,5,10,11,21,19,19,38,0.000333,0.055636,5.000000,834.540310,46.363351,166.908062,71.273029,1,no
6,6,10,13,23,24,23,47,0.000333,0.070869,5.000000,1063.037060,59.057614,212.607412,81.324997,1,no
10,10,14,13,27,33,25,58,0.000333,0.091928,7.000000,1930.484326,107.249129,275.783475,101.408685,2,no
10,10,14,14,28,33,26,59,0.000333,0.094545,7.000000,1985.437583,110.302088,283.633940,106.605938,2,no
10,10,15,21,36,55,37,92,0.000333,0.158544,7.000000,3329.431701,184.968428,475.633100,150.842025,6,no
10,10,15,22,37,55,38,93,0.000333,0.161493,7.000000,3391.354141,188.408563,484.479163,156.710855,6,no
2,2,6,5,11,8,6,14,0.000333,0.016144,3.000000,145.296128,8.072007,48.432043,27.119415,2,no
2,2,6,6,12,8,7,15,0.000333,0.017925,3.000000,161.323313,8.962406,53.774438,31.019550,2,no
2,2,8,7,15,10,9,19,0.000333,0.024744,4.000000,296.923685,16.495760,74.230921,43.651484,3,no
8,8,10,18,28,34,30,64,0.000333,0.102557,5.000000,1538.353575,85.464088,307.670715,108.277931,3,no
8,8,10,19,29,34,31,65,0.000333,0.105256,5.000000,1578.843823,87.713546,315.768765,113.929904,3,no
13,13,15,17,32,79,54,133,0.000333,0.221667,21.000000,13965.000000,775.833333,665.000000,128.090227,5,yes
6,6,13,15,28,37,27,64,0.000333,0.102557,6.000000,1846.024290,102.556905,307.670715,106.709075,3,no
8,8,13,20,33,44,34,78,0.000333,0.131154,6.000000,2360.776448,131.154247,393.462741,134.544278,3,no
13,13,15,15,30,64,44,108,0.000333,0.176648,14.000000,7419.218581,412.178810,529.944184,117.206718,5,no
7,7,9,7,16,27,18,45,0.000333,0.060000,8.000000,1440.000000,80.000000,180.000000,48.180809,1,no
17,17,15,18,33,82,60,142,0.000333,0.238768,21.000000,15042.383264,835.687959,716.303965,133.662009,5,no
11,11,11,14,25,45,36,81,0.000333,0.125384,10.000000,3761.523514,208.973529,376.152351,91.356717,1,no
10,10,13,15,28,46,34,80,0.000333,0.128196,12.000000,4615.060725,256.392263,384.588394,106.709075,3,no
7,7,9,8,17,27,19,46,0.000333,0.062674,8.000000,1504.186326,83.565907,188.023291,52.529325,1,no
9,9,13,13,26,43,28,71,0.000333,0.111244,12.000000,4004.774640,222.487480,333.731220,96.211433,3,no
11,11,12,17,29,48,36,84,0.000333,0.136023,12.000000,4896.844843,272.046936,408.070404,112.506418,2,no
14,14,16,30,46,89,63,152,0.000333,0.279860,16.000000,13433.302677,746.294593,839.581417,211.206718,2,no
10,10,13,20,33,53,39,92,0.000333,0.154695,6.000000,2784.505554,154.694753,464.084259,134.544278,2,no
7,7,13,19,32,43,30,73,0.000333,0.121667,6.000000,2190.000000,121.666667,365.000000,128.816339,2,no
12,12,13,19,32,62,40,102,0.000333,0.170000,12.000000,6120.000000,340.000000,510.000000,128.816339,2,no
14,14,13,19,32,68,42,110,0.000333,0.183333,12.000000,6600.000000,366.666667,550.000000,128.816339,3,no
17,17,18,33,51,117,67,184,0.000333,0.347909,18.000000,18787.072733,1043.726263,1043.726263,241.523656,9,no
18,18,17,32,49,105,68,173,0.000333,0.323782,16.000000,15541.516849,863.417603,971.344803,229.486868,6,no
13,13,14,15,29,68,40,108,0.000333,0.174887,14.000000,7345.267265,408.070404,524.661947,111.906328,5,no
16,16,14,23,37,81,52,133,0.000333,0.230952,14.000000,9700.002167,538.889009,692.857298,157.344894,5,no
14,14,13,18,31,64,49,113,0.000333,0.186608,12.000000,6717.890197,373.216122,559.824183,123.164366,3,no
13,13,14,19,33,61,44,105,0.000333,0.176554,14.000000,7415.259355,411.958853,529.661383,134.013592,3,no
15,15,13,21,34,66,51,117,0.000333,0.198411,12.000000,7142.797829,396.822102,595.233152,140.344382,2,no
4,4,6,6,12,11,9,20,0.000333,0.023900,3.000000,215.097750,11.949875,71.699250,31.019550,2,no
12,12,14,13,27,37,27,64,0.000333,0.101438,14.000000,4260.379202,236.687733,304.312800,101.408685,2,no
12,12,12,17,29,50,43,93,0.000333,0.150597,12.000000,5421.506791,301.194822,451.792233,112.506418,1,no
13,13,12,19,31,55,47,102,0.000333,0.168443,12.000000,6063.936284,336.885349,505.328024,123.730173,1,no
21,21,19,27,46,117,71,188,0.000333,0.346143,18.000000,18691.733659,1038.429648,1038.429648,209.092585,8,no
22,22,16,25,41,105,72,177,0.000333,0.316096,16.000000,15172.587277,842.921515,948.286705,180.096405,5,no
5,5,11,9,20,19,17,36,0.000333,0.051863,5.000000,777.947057,43.219281,155.589411,66.583073,3,no
6,6,13,13,26,30,23,53,0.000333,0.083041,6.000000,1494.739830,83.041102,249.123305,96.211433,3,no
6,6,11,11,22,26,19,45,0.000333,0.066891,5.000000,1003.372114,55.742895,200.674423,76.107496,1,no
11,11,15,17,32,43,32,75,0.000333,0.125000,7.000000,2625.000000,145.833333,375.000000,128.090227,2,no
16,16,15,18,33,95,58,153,0.000333,0.257264,21.000000,16207.638305,900.424350,771.792300,133.662009,5,no
17,17,18,24,42,114,64,178,0.000333,0.319944,18.000000,17276.985023,959.832501,959.832501,185.097750,8,no
18,18,15,23,38,102,65,167,0.000333,0.292135,14.000000,12269.654526,681.647474,876.403895,162.645284,5,no
8,8,11,13,24,31,28,59,0.000333,0.090171,10.000000,2705.127875,150.284882,270.512788,86.159464,1,no
9,9,11,15,26,36,32,68,0.000333,0.106543,10.000000,3196.299008,177.572167,319.629901,96.657107,1,no
9,9,13,23,36,49,39,88,0.000333,0.151651,6.000000,2729.720401,151.651133,454.953400,152.147641,3,no
8,8,11,13,24,32,28,60,0.000333,0.091699,10.000000,2750.977500,152.832083,275.097750,86.159464,1,no
9,9,11,15,26,37,32,69,0.000333,0.108110,10.000000,3243.303406,180.183523,324.330341,96.657107,1,no
8,8,11,14,25,46,37,83,0.000333,0.128480,10.000000,3854.400638,214.133369,385.440064,91.356717,1,no
9,9,11,16,27,51,41,92,0.000333,0.145817,10.000000,4374.496502,243.027583,437.449650,102.053748,1,no
17,17,15,26,41,62,50,112,0.000333,0.200015,7.000000,4200.320772,233.351154,600.045825,180.814792,2,no
18,18,20,30,50,88,58,146,0.000333,0.274668,10.000000,8240.030037,457.779447,824.003004,233.645280,8,no
18,18,22,31,53,90,60,150,0.000333,0.286396,11.000000,9451.068750,525.059375,859.188068,251.687581,9,no
9,9,10,19,29,37,31,68,0.000333,0.110114,5.000000,1651.713538,91.761863,330.342708,113.929904,2,no
9,9,12,20,32,39,33,72,0.000333,0.120000,6.000000,2160.000000,120.000000,360.000000,129.458112,3,no
16,16,17,27,44,67,51,118,0.000333,0.214738,8.000000,5153.703448,286.316858,644.212931,197.868831,5,no
16,16,19,28,47,69,53,122,0.000333,0.225887,9.000000,6098.938559,338.829920,677.659840,215.316561,6,no
11,11,14,14,28,37,28,65,0.000333,0.104159,14.000000,4374.692979,243.038499,312.478070,106.605938,2,no
3,3,8,6,14,12,9,21,0.000333,0.026651,4.000000,319.817813,17.767656,79.954453,39.509775,2,no
3,3,10,7,17,14,11,25,0.000333,0.034062,5.000000,510.932855,28.385159,102.186571,52.870765,3,no
17,17,15,20,35,58,45,103,0.000333,0.176105,14.000000,7396.426110,410.912562,528.316151,145.041921,3,no
17,17,15,21,36,58,46,104,0.000333,0.179224,14.000000,7527.410802,418.189489,537.672200,150.842025,3,no
9,9,11,13,24,33,26,59,0.000333,0.090171,10.000000,2705.127875,150.284882,270.512788,86.159464,3,no
9,9,13,15,28,35,29,64,0.000333,0.102557,6.000000,1846.024290,102.556905,307.670715,106.709075,4,no
4,4,10,9,19,20,14,34,0.000333,0.048143,5.000000,722.147677,40.119315,144.429535,61.748606,2,no
3,3,9,9,18,18,13,31,0.000333,0.043089,4.000000,517.070700,28.726150,129.267675,57.058650,2,no
12,12,12,18,30,49,44,93,0.000333,0.152114,12.000000,5476.089905,304.227217,456.340825,118.078200,1,no
13,13,12,20,32,54,48,102,0.000333,0.170000,12.000000,6120.000000,340.000000,510.000000,129.458112,1,no
4,4,9,10,19,20,15,35,0.000333,0.049559,4.000000,594.709852,33.039436,148.677463,61.748606,2,no
4,4,9,11,20,20,16,36,0.000333,0.051863,4.000000,622.357646,34.575425,155.589411,66.583073,2,no
17,17,16,26,42,87,59,146,0.000333,0.262426,16.000000,12596.453500,699.802972,787.278344,186.211433,9,no
11,11,11,21,32,50,42,92,0.000333,0.153333,10.000000,4600.000000,255.555556,460.000000,130.292414,3,no
28,28,20,38,58,127,88,215,0.000333,0.419822,20.000000,25189.318279,1399.406571,1259.465914,285.859807,11,no
28,28,22,40,62,129,92,221,0.000333,0.438626,22.000000,28949.302461,1608.294581,1315.877385,310.984619,12,no
22,22,17,33,50,90,71,161,0.000333,0.302887,16.000000,14538.573545,807.698530,908.660847,235.951874,5,no
22,22,19,35,54,92,75,167,0.000333,0.320355,18.000000,17299.191832,961.066213,961.066213,260.235528,6,no
15,15,15,25,40,78,52,130,0.000333,0.230617,14.000000,9685.909133,538.106063,691.850652,174.699764,9,no
9,9,10,20,30,41,35,76,0.000333,0.124308,5.000000,1864.618426,103.589913,372.923685,119.657843,3,no
21,21,16,29,45,74,61,135,0.000333,0.247133,16.000000,11862.402688,659.022372,741.400168,204.881449,2,no
21,21,16,30,46,74,62,136,0.000333,0.250401,16.000000,12019.270816,667.737268,751.204426,211.206718,2,no
15,15,16,24,40,77,51,128,0.000333,0.227069,16.000000,10899.308738,605.517152,681.206796,174.039100,9,no
13,13,11,22,33,49,42,91,0.000333,0.153013,5.000000,2295.199324,127.511074,459.039865,136.161243,2,yes
13,13,13,24,37,51,45,96,0.000333,0.166703,6.000000,3000.645139,166.702508,500.107523,158.144816,3,yes
9,9,11,19,30,40,34,74,0.000333,0.121037,5.000000,1815.549520,100.863862,363.109904,118.764371,3,yes
14,14,11,24,35,56,46,102,0.000333,0.174396,5.000000,2615.934339,145.329685,523.186868,148.092848,1,no
9,9,8,11,19,30,24,54,0.000333,0.076463,8.000000,1835.104686,101.950260,229.388086,62.053748,1,no
19,19,15,29,44,73,59,132,0.000333,0.240215,14.000000,10089.029631,560.501646,720.644974,199.484808,2,no
14,14,12,17,29,47,37,84,0.000333,0.136023,12.000000,4896.844843,272.046936,408.070404,112.506418,2,yes
18,18,18,32,50,94,61,155,0.000333,0.291599,9.000000,7873.179385,437.398855,874.797709,235.058650,8,yes
18,18,20,33,53,96,63,159,0.000333,0.303580,10.000000,9107.393523,505.966307,910.739352,252.903568,9,no
11,11,11,20,31,42,37,79,0.000333,0.130461,5.000000,1956.907543,108.717086,391.381509,124.492310,2,no
11,11,13,21,34,44,39,83,0.000333,0.140753,6.000000,2533.556495,140.753139,422.259416,140.344382,3,no
16,16,16,29,45,73,54,127,0.000333,0.232488,8.000000,5579.722746,309.984597,697.465343,204.881449,5,no
16,16,18,30,48,75,56,131,0.000333,0.243877,9.000000,6584.670788,365.815044,731.630088,222.265368,6,no
8,8,12,13,25,34,26,60,0.000333,0.092877,12.000000,3343.576457,185.754248,278.631371,91.125266,3,no
6,6,8,7,15,18,15,33,0.000333,0.042976,8.000000,1031.419117,57.301062,128.927390,43.651484,2,no
8,8,14,14,28,36,28,64,0.000333,0.102557,14.000000,4307.390010,239.299445,307.670715,106.605938,4,no
16,16,15,18,33,60,44,104,0.000333,0.174872,14.000000,7344.637838,408.035435,524.616988,133.662009,3,no
13,13,15,18,33,57,37,94,0.000333,0.158058,14.000000,6638.422661,368.801259,474.173047,133.662009,4,no
13,13,17,19,36,59,39,98,0.000333,0.168884,16.000000,8106.442402,450.357911,506.652650,150.197491,5,no
3,3,4,4,8,7,6,13,0.000333,0.013000,2.000000,78.000000,4.333333,39.000000,16.000000,1,no
3,3,4,5,9,7,7,14,0.000333,0.014793,2.000000,88.757900,4.930994,44.378950,19.609640,1,no
10,10,14,12,26,34,24,58,0.000333,0.090875,14.000000,3816.757051,212.042058,272.625504,96.322519,2,no
10,10,14,13,27,34,25,59,0.000333,0.093513,7.000000,1963.768538,109.098252,280.538363,101.408685,2,no
23,23,17,26,43,110,73,183,0.000333,0.331002,16.000000,15888.103202,882.672400,993.006450,191.698301,6,no
14,14,13,19,32,57,44,101,0.000333,0.168333,12.000000,6060.000000,336.666667,505.000000,128.816339,2,no
12,12,13,20,33,62,41,103,0.000333,0.173191,12.000000,6234.871132,346.381730,519.572594,134.544278,2,no
14,14,13,20,33,68,43,111,0.000333,0.186643,12.000000,6719.132967,373.285165,559.927747,134.544278,3,no
24,24,19,31,50,129,78,207,0.000333,0.389426,18.000000,21029.008163,1168.278231,1168.278231,234.290708,9,no
25,25,17,30,47,117,80,197,0.000333,0.364751,16.000000,17508.064060,972.670226,1094.254004,216.693586,6,no
10,10,13,16,29,61,43,104,0.000333,0.168410,12.000000,6062.760282,336.820016,505.230023,112.105716,3,no
9,9,13,15,28,58,37,95,0.000333,0.152233,12.000000,5480.384611,304.465812,456.698718,106.709075,3,no
11,11,12,19,31,63,45,108,0.000333,0.178351,12.000000,6420.638418,356.702134,535.053202,123.730173,2,no
13,13,14,19,33,56,47,103,0.000333,0.173191,14.000000,7274.016320,404.112018,519.572594,134.013592,2,no
14,14,14,21,35,61,51,112,0.000333,0.191493,14.000000,8042.715771,446.817543,574.479698,145.541635,2,no
6,6,12,13,25,29,23,52,0.000333,0.080494,6.000000,1448.883131,80.493507,241.480522,91.125266,3,no
10,10,10,21,31,43,36,79,0.000333,0.130461,5.000000,1956.907543,108.717086,391.381509,125.457947,2,no
10,10,12,22,34,45,38,83,0.000333,0.140753,6.000000,2533.556495,140.753139,422.259416,141.127046,3,yes
23,23,20,33,53,111,72,183,0.000333,0.349403,20.000000,20964.188864,1164.677159,1048.209443,252.903568,11,no
